"treatment","handle","gender","race","educ","partisan"
"uncivil","Leave it, do nothing","Female","White","High school graduate","target: democrats"
"control","Leave it, do nothing","Female","Black","High school graduate","target: democrats"
"control","Leave it, do nothing","Female","Others","College","target: republicans"
"control","Reduce how many people can see the post ","Female","White","College","target: democrats"
"threatening","Leave it, do nothing","Female","White","College","target: republicans"
"uncivil","Leave it, do nothing","Female","White","College","target: republicans"
"intolerant","Leave it, do nothing","Male","White","College","target: democrats"
"uncivil","Place a warning label on the post ","Male","White","High school graduate","target: democrats"
"intolerant","Place a warning label on the post ","Female","White","College","target: democrats"
"threatening","Leave it, do nothing","Female","Black","College","target: democrats"
"threatening","Place a warning label on the post ","Male","White","College","target: republicans"
"uncivil","Leave it, do nothing","Female","White","College","target: republicans"
"uncivil","Permanently remove the post ","Male","Others","Professional degree","target: democrats"
"non-group-related control","Leave it, do nothing","Male","Hispanic","College","non-group-related control"
"threatening","Leave it, do nothing","Male","White","PhD","target: republicans"
"threatening","Leave it, do nothing","Female","Others","College","target: democrats"
"non-group-related control","Leave it, do nothing","Female","White","College","non-group-related control"
"uncivil","Reduce how many people can see the post ","Male","White","College","target: democrats"
"intolerant","Leave it, do nothing","Female","White","High school graduate","target: democrats"
"control","Leave it, do nothing","Female","White","Postgraduate","target: republicans"
"threatening","Place a warning label on the post ","Male","Hispanic","College","target: republicans"
"threatening","Leave it, do nothing","Female","Black","High school graduate","target: democrats"
"control","Leave it, do nothing","Female","White","Postgraduate","target: republicans"
"uncivil","Leave it, do nothing","Male","Others","Postgraduate","target: democrats"
"uncivil","Leave it, do nothing","Female","Others","Professional degree","target: republicans"
"threatening","Leave it, do nothing","Male","Others","High school graduate","target: democrats"
"uncivil","Place a warning label on the post ","Male","White","High school graduate","target: democrats"
"threatening","Leave it, do nothing","Female","White","Professional degree","target: democrats"
"threatening","Permanently remove the post ","Female","White","High school graduate","target: republicans"
"uncivil","Permanently remove the post ","Female","Black","High school graduate","target: democrats"
